name,raw_title,summary,link
Henry Rollins,"Henry Rollins: Keep Talking, Pal (2018) – Full Transcript","Henry Rollins waxes at a high rate of speed about the brilliance of RuPaul, meeting David Bowie, his weirdest shows, why women should rule and more in a live performance from Portland, Oregon.",https://scrapsfromtheloft.com/2018/10/04/henry-rollins-keep-talking-pal-transcript/
George Carlin,George Carlin: Saturday Night Live Monologue S01E01 (10/11/1975) – Full Transcript,"After entering the stage through the audience, George Carlin recites ""Baseball and Football"" from his new album ""An Evening with Wally Londo, Featuring Bill Slazso"".",https://scrapsfromtheloft.com/2018/10/04/george-carlin-saturday-night-live-monologue1975-s01e01/
Joe Rogan,Joe Rogan: Strange Times (2018) – Full Transcript,"Outspoken as ever, comedian Joe Rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in Boston.",https://scrapsfromtheloft.com/2018/10/03/joe-rogan-strange-times-transcript/
Louis C.K.,Louis C.K.: SNL Monologue S38E06 [11/03/12] – Full Transcript,Louis C.K. performs stand-up about an old lady he helped out at the airport.,https://scrapsfromtheloft.com/2018/10/02/louis-ck-snl-monologue-s38e06-2012-transcript/
Louis C.K.,Louis C.K.: SNL Monologue S39E16 [03/29/14] – Full Transcript,"Louis C.K. performs observational stand-up about the existence of God and heaven, women, and wifebeater t-shirts.",https://scrapsfromtheloft.com/2018/10/02/louis-c-k-snl-monologue-march-29-2014-full-transcript/
Sarah Silverman,Sarah Silverman: Saturday Night Live Monologue – SEASON 40 | EPISODE 2 | 10/04/2014 – Transcript,Saturday Night Live alum Sarah Silverman returns as host and talks to her younger self. This is the full transcript of her monologue.,https://scrapsfromtheloft.com/2018/10/02/sarah-silvermans-monologue-saturday-night-live-2014-transcript/
Louis C.K.,"Louis C.K.: SNL Monologue May 16, 2015 – Full Transcript","Read the full transcript of Louis C.K. (in)famous, brutally honest monologue about mild racism, the Israel-Palestine conflict and child molesters. Louis knows just how to make you really uncomfortable and laugh at the same time.",https://scrapsfromtheloft.com/2018/09/30/louis-c-k-snl-monologue-2015-transcript/
John Mulaney,"John Mulaney: SNL monologue [April 14, 2018] – Full Transcript",Host John Mulaney discusses his time as a Saturday Night Live writer and shares how he's gotten grumpier as he's gotten older.,https://scrapsfromtheloft.com/2018/09/23/john-mulaney-snl-monologue-2018-transcript/
Dave Chappelle,"David Chappelle: SNL monologue [November 12, 2016] – Full Transcript","Transcript of Dave Chappelle’s opening monologue from November 12, 2016 “Saturday Night Live.” The comedian hosted the late night show for the first time and he joked about Donald Trump being elected president and how being rich changed his life.",https://scrapsfromtheloft.com/2018/09/23/david-chappelles-snl-monologue-2016-transcript/
D.L. Hughley,D.L. Hughley: Contrarian (2018) – Full Transcript,"D.L. Hughley riffs on hot-button political issues, celebrity scandals, his mother's tough love and more in a rapid-fire stand-up show in Philadelphia.",https://scrapsfromtheloft.com/2018/09/22/d-l-hughley-contrarian-transcript/
Iliza Shlesinger,Iliza Shlesinger: Freezing Hot (2015) – Full Transcript,"Comedian Iliza Shlesinger battles her inner vodka goblin, identifies women's unhealthy addiction to Pinterest, and shamelessly exposes women's love-hate relationship with cold weather.",https://scrapsfromtheloft.com/2018/09/13/iliza-shlesinger-freezing-hot-transcript/
Iliza Shlesinger,Iliza Shlesinger: War Paint (2013) – Full Transcript,"Last Comic Standing season 6 winner Iliza Shlesinger makes her major league debut with War Paint. ""War paint"" is the make-up women wear when they go out into the battlefield (the club or bar) to pick up men. ",https://scrapsfromtheloft.com/2018/09/13/iliza-shlesinger-war-paint-transcript/
Bert Kreischer,Bert Kreischer: Secret Time (2018) – Full Transcript,"Bert regales the audience at the Trocadero Theatre with stories about zip-lining with his family, his daughter practicing softball with an imaginary ball, and upstaging ex-NBA player Ralph Sampson at a childhood basketball camp.",https://scrapsfromtheloft.com/2018/08/25/bert-kreischer-secret-time-transcript/
Dick Gregory,"Dick Gregory: Speech at St. John’s Baptist Church, May 20, 1963","Transcript of Dick Gregory's speech at St. John’s Baptist Church - Birmingham, Alabama - May 20, 1963",https://scrapsfromtheloft.com/2018/08/11/dick-gregory-speech-st-johns-baptist-church-may-20-1963/
Demetri Martin,Demetri Martin: The Overthinker (2018) – Full Transcript,"With his signature one-liners and drawings, Demetri Martin muses on doughnut holes, dogs, sports bars, the alphabet's most aggressive letters, Halloween, work outs and more.",https://scrapsfromtheloft.com/2018/08/11/demetri-martin-overthinker-transcript/
Bill Maher,BILL MAHER: LIVE FROM OKLAHOMA (2018) – Full Transcript,"Bill Maher brings his hilarious stand-up show to screens from Tulsa, Oklahoma in his 11th solo show on HBO.",https://scrapsfromtheloft.com/2018/08/04/bill-maher-live-from-oklahoma-2018-full-transcript/
Rowan Atkinson,Rowan Atkinson Live (1992) – Full Transcript,"Filmed in Boston, Massachusetts, at the Huntington Theatre, on 12 December 1991, this show features Rowan Atkinson performing a series of comedy sketches before a live audience. Aired on HBO on 1 March 1992 as Rowan Atkinson: Not Just Another Pretty Face. The tv broadcast was marketed on video as Rowan Atkinson Live.",https://scrapsfromtheloft.com/2018/08/04/rowan-atkinson-live-1992-transcript/
Iliza Shlesinger,Iliza Shlesinger: Confirmed Kills (2016) – Full Transcript,"Iliza Shlesinger performs in this standup talking about dating, feminism and some of the intricacies associated with being a woman in the 21st century.",https://scrapsfromtheloft.com/2018/07/31/iliza-shlesinger-confirmed-kills-transcript/
Iliza Shlesinger,Iliza Shlesinger: Elder Millennial (2018) – Full Transcript,"Newly engaged comic Iliza Shlesinger dives into undeniable truths about life at age 35, the insanity of the road traveled and what's to come.",https://scrapsfromtheloft.com/2018/07/30/iliza-shlesinger-elder-millennial-2018-full-transcript/
Jim Gaffigan,JIM GAFFIGAN: NOBLE APE (2018) – Full Transcript,"In his all new ""Noble Ape"" stand up special, Jim Gaffigan gets personal as he discusses the medical crisis that befell his wife and family this year, which almost led to his retirement.",https://scrapsfromtheloft.com/2018/07/26/jim-gaffigan-noble-ape-full-transcript/
Jim Norton,JIM NORTON: CONTEXTUALLY INADEQUATE (2015) – Full Transcript,"Comedian Jim Norton tackles the twisted state of the 21st century, including how modern technology affects everything from free speech to hooking up.",https://scrapsfromtheloft.com/2018/07/23/jim-norton-contextually-inadequate-full-transcript/
Hannah Gadsby,Hannah Gadsby: Nanette (2018) – Full Transcript,"Hannah Gadsby take us through a journey that goes from self deprecation as a form of humor (one in which humility is confused with humiliation) to an affirmation of our value as human beings. Employing humor as a stiletto she tells her story and make us uncomfortable, she shares with us more than laughs, she shares with us a bit of her soul.",https://scrapsfromtheloft.com/2018/07/21/hannah-gadsby-nanette-transcript/
Brad Williams,BRAD WILLIAMS: DADDY ISSUES (2016) – Full Transcript,"In this comedy special, stand-up Brad Williams tackles race and political correctness, as well as how his father raised him to deal with adversity.",https://scrapsfromtheloft.com/2018/07/20/brad-williams-daddy-issues-transcript/
Deray Davis,DERAY DAVIS: HOW TO ACT BLACK (2017) – Full Transcript,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man.",https://scrapsfromtheloft.com/2018/07/18/deray-davis-how-to-act-black-transcript/
Ricky Gervais,RICKY GERVAIS: LIVE IV – SCIENCE (2010) – Full Transcript,"Ricky Gervais Live IV Science or the way things worked before we invented God. The fourth live smash hit stand up show from Ricky Gervais, following his complete sell out tour - filmed live at London's Hammersmith HMV Apollo",https://scrapsfromtheloft.com/2018/07/18/ricky-gervais-live-iv-science-transcript/
Jim Jefferies,JIM JEFFERIES: THIS IS ME NOW (2018) – Full transcript,"The gleefully irreverent Jefferies skewers ""grabby"" celebrities, political hypocrisy and his own ill-advised career moves in a brash stand-up special.",https://scrapsfromtheloft.com/2018/07/14/jim-jefferies-this-is-me-now-transcript/
Bill Burr,BILL BURR: THE PHILADELPHIA INCIDENT (2006) – Transcript,"Transcript of the ""Philadelphia incident"" where comedian Bill Burr went on a 12-minute tirade attacking the audience after the previous act was heckled heavily by the crowd.",https://scrapsfromtheloft.com/2018/07/06/bill-burr-the-philadelphia-incident-2006-transcript/
Russell Peters,RUSSELL PETERS: OUTSOURCED (2006) – Full Transcript,"Russell Peters talks heavily about racism, breaking the stereotypes and finally advising the Americans to follow the other world culture when it comes to parenting.",https://scrapsfromtheloft.com/2018/07/02/russell-peters-outsourced-transcript/
